nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,status_telepon,status_website,latitude,longitude,status_aksesibilitas,aksesibilitas
Masjid Daarul Muttaqin,Masjid,"JGGC+Q84, Ling Pintusinga Regency, RT.06/RW.18, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat 46311",Buka 24 jam,"4,8",5,,Tidak Ada,Tidak Tersedia,-7.3731104,108.5208346,Tidak Tersedia,
Masjid Al-Aziz,Masjid,"JGPC+2GG, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat 46311",Buka 24 jam,"4,9",12,"
0896-0511-1755",Ada,Tidak Tersedia,-7.3649433,108.5213241,Tidak Tersedia,
Masjid Baetusyukur,Masjid,"JG7Q+GM2, Hegarsari, Kec. Pataruman, Kota Banjar, Jawa Barat 46322",,"4,4",14,,Tidak Ada,Tidak Tersedia,-7.3862342,108.5391377,Aksesibilitas Tersedia,Tidak memiliki pintu masuk khusus pengguna kursi roda | Tidak memiliki tempat parkir khusus pengguna kursi roda
Masjid Agung Kota Banjar,Masjid,"JGJR+59W, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat 46311",Buka 24 jam,"4,5",337,,Tidak Ada,Tidak Tersedia,-7.3695014,108.5409572,Aksesibilitas Tersedia,Ada toilet khusus pengguna kursi roda
Masjid An-Najah,Masjid,"JGGW+7W3, Pataruman, Kec. Pataruman, Kota Banjar, Jawa Barat 46323",,"5,0",1,,Tidak Ada,Tidak Tersedia,-7.3743579,108.5473068,Tidak Tersedia,
Masjid Nurul Ihsan,Masjid,"JG9H+5VV, Mekarsari, Kec. Banjar, Kota Banjar, Jawa Barat 46321",,"4,7",6,,Tidak Ada,Tidak Tersedia,-7.3820058,108.5296625,Tidak Tersedia,
Masjid At Taqwa,Masjid,"JG4H+WWQ, Pagak Pengasinan, Jl. Tentara Pelajar, Binangun, Pataruman, Banjar City, West Java 46316",Buka 24 jam,"5,0",2,,Tidak Ada,Tidak Tersedia,-7.3926509,108.5298505,Tidak Tersedia,
Masjid DKM I Miftahul Huda Cipariuk,Masjid,"JF6W+XC3 Jalan, Jl. Cipariuk, Situbatu, Kec. Banjar, Kota Banjar, Jawa Barat 46314",,"5,0",2,,Tidak Ada,Tidak Tersedia,-7.387835,108.49594,Tidak Tersedia,
Masjid Al magah,Masjid,"JGJR+599, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat 46311",,,,,Tidak Ada,Tidak Tersedia,-7.3695393,108.5409438,Tidak Tersedia,
Masjid Jami Baetul Falah,Masjid,"JGFP+RJ6, Mekarsari, Kec. Banjar, Kota Banjar, Jawa Barat",,,,,Tidak Ada,Tidak Tersedia,-7.3754688,108.5365181,Tidak Tersedia,
