nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Gereja Kristen Indonesia - GKI Sion Tasikmalaya,Gereja Kristen,"Jl. Tentara Pelajar No.8, Nagarawangi, Kec. Cihideung, Kab. Tasikmalaya, Jawa Barat 46124",08.00 hingga 16.00,"4,6",16,"
0852-3232-3018",Ada,Tersedia,-7.3343105,108.2196106,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
"Gereja Katedral Bandung, Santo Petrus",Katedral Katolik,"Jl. Merdeka No.14, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117",08.00 hingga 18.00,"4,8",5.123,"
(022) 4235537",Ada,Tersedia,-6.9148463,107.6106056,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
GMS Bandung,Gereja,"istana bandung electronic center, Istana BEC, Jl. Purnawarman lantai 3A, Babakanciamis, Sumurbandung, Bandung City, West Java 40117",09.00 hingga 16.30,"4,9",125,"
(021) 30020080",Ada,Tersedia,-6.9078216,107.6087898,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
GKI CIAMIS,Gereja,"Jl. Ir. H. Juanda No.270, Ciamis, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46211",,"4,4",16,,Tidak Ada ,Tersedia,-7.327285,108.3574231,Aksesibilitas Tersedia,[]
"Gereja Katolik Paroki Bunda Tujuh Kedukaan, Pandu",Gereja Katolik,"Jl. Pandu No.4, Pamoyanan, Kec. Cicendo, Kota Bandung, Jawa Barat 40173",06.00 hingga 21.00,"4,8",1.806,"
(022) 6011138",Ada,Tersedia,-6.9055223,107.5934154,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Gereja Kristen Indonesia (GKI) Veteran Tasikmalaya,Gereja Kristen,"Jl. Veteran No.49, Nagarawangi, Kec. Cihideung, Kab. Tasikmalaya, Jawa Barat 46121",08.00 hingga 20.00,"4,9",42,"
(0265) 330106",Ada,Tersedia,-7.3313175,108.2162786,Aksesibilitas Tersedia,"['Memiliki kursi khusus pengguna kursi roda', 'Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
GJKI PELANGI KASIH,Gereja,"Jl. Wastukencana No.15, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.9118715,107.6087746,Aksesibilitas Tersedia,[]
GPIB Maranatha Bandung,Gereja Protestan,"Jl. Taman Cibeunying Utara No.2, Cihapit, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40114",09.00 hingga 17.00,"4,8",286,"
(022) 7271563",Ada,Tersedia,-6.9071617,107.6265027,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
GKDI Bandung,Gereja Kristus,"Istana BEC, Jl. Purnawarman No.13-15 Lantai 3, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117",10.30 hingga 22.00,"5,0",89,"
0821-1996-2001",Ada,Tidak Tersedia,-6.908257,107.6088796,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda', ' Tidak dilengkapi dukungan instalasi bantu dengar', 'Tidak memiliki kursi khusus pengguna kursi roda']"
Gereja Katolik Paroki Hati Tak Bernoda Santa Perawan Maria,Gereja Katolik,"Jl. Suryalaya No.3, Cijagra, Kec. Lengkong, Kota Bandung, Jawa Barat 40265",06.00 hingga 22.00,"4,8",693,"
(022) 7303922",Ada,Tersedia,-6.940817,107.625909,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
