nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Jami' At Taqwa,Masjid,"3WGC+29Q, Gg. Rh. Buston, Nyomplong, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43131",,"5,0",3,,Tidak Ada ,Tidak Tersedia,-6.9249121,106.9209858,Aksesibilitas Tersedia,[]
Masjid Ibnu Sina,Masjid,"3WHV+FR7, Subangjaya, Kec. Cikole, Kota Sukabumi, Jawa Barat 43116",Buka 24 jam,"4,5",28,,Tidak Ada ,Tidak Tersedia,-6.9213301,106.9445449,Aksesibilitas Tersedia,[]
Masjid Abu Bakar Ash Shiddiq,Masjid,"2WVV+57V, Sindangpalay, Kec. Cibeureum, Kota Sukabumi, Jawa Barat 43162",Buka 24 jam,"5,0",7,,Tidak Ada ,Tidak Tersedia,-6.9570141,106.9431643,Aksesibilitas Tersedia,[]
Masjid perum Limusnunggal,Masjid,"3W4R+QFM, Limusnunggal, Kec. Cibeureum, Kota Sukabumi, Jawa Barat 43165",Buka 24 jam,"4,4",5,,Tidak Ada ,Tidak Tersedia,-6.9430367,106.9411842,Aksesibilitas Tersedia,[]
Masjid Al Barokah,Masjid,"2VQR+6PP, Jl. Lembur Situ, Lembursitu, Kec. Lembursitu, Kota Sukabumi, Jawa Barat 43169",,"4,6",11,,Tidak Ada ,Tidak Tersedia,-6.9619101,106.89182,Aksesibilitas Tersedia,[]
Masjid Jami' Al Amanah,Masjid,"3WHC+5CV, Gg. H. Sidik, RT.04/RW.05, Benteng, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43131",Buka 24 jam,"5,0",4,,Tidak Ada ,Tidak Tersedia,-6.9220218,106.9210619,Aksesibilitas Tersedia,[]
Masjid Al-Aminiyyah,Masjid,"Jl. Surya Kencana No.82, Cikole, Kab. Sukabumi, Kota Sukabumi, Jawa Barat 43114",Buka 24 jam,"4,2",9,,Tidak Ada ,Tidak Tersedia,-6.9146748,106.9332251,Aksesibilitas Tersedia,[]
Masjid Abu Hasan,Masjid,"Jl. Ciaul Pasir, Cisarua, Kec. Cikole, Kabupaten Sukabumi, Jawa Barat 43115",,"4,5",13,,Tidak Ada ,Tidak Tersedia,-6.9166199,106.9439628,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al-Muslikh,Masjid,"2WJ5+QX9, Cikundul, Kec. Lembursitu, Kota Sukabumi, Jawa Barat 43168",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.9684274,106.9100038,Aksesibilitas Tersedia,[]
"Masjid Jami' Al Ikhwan RSUD R. Syamsudin, SH",Masjid,"3WMM+2MV, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",,"4,3",6,,Tidak Ada ,Tidak Tersedia,-6.9173972,106.934173,Aksesibilitas Tersedia,[]
