nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Gereja Kristen Pasundan Garut,Gereja Protestan,"Jl. Bratayuda, Regol, Kec. Garut Kota, Kabupaten Garut, Jawa Barat 44114",08.00 hingga 16.00,"4,7",68,"
(0262) 231455",Ada,Tersedia,-7.2197665,107.9106016,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda', ' Tidak dilengkapi dukungan instalasi bantu dengar', 'Tidak memiliki kursi khusus pengguna kursi roda']"
Gereja Kristen Pasundan Jemaat Cicalengka,Gereja Kristen,"XVM9+V7P, Unnamed Road, Mandalawangi, Nagreg, Bandung Regency, West Java 40215",Tutup,"4,4",25,,Tidak Ada ,Tidak Tersedia,-7.0152858,107.8681878,Aksesibilitas Tersedia,[]
GKPA Bandung,Gereja Protestan,"Jl. Kawaluyaan Indah Raya No.5B, Jatisari, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286",,"4,9",11,,Tidak Ada ,Tidak Tersedia,-6.935064,107.6625911,Aksesibilitas Tersedia,[]
Gereja Isa Almasih Jemaat Galunggung,Gereja Pantekosta,"Jl. Pelajar Pejuang 45 No.3, Lkr. Sel., Kec. Lengkong, Kota Bandung, Jawa Barat 40263",,"5,0",26,"
(022) 7323546",Ada,Tersedia,-6.925368,107.627647,Aksesibilitas Tersedia,[]
GKI Gatot Subroto,Gereja,"Jl. Gatot Subroto No.405-407, Binong, Kec. Batununggal, Kota Bandung, Jawa Barat 40275",,"4,8",29,"
(022) 7310426",Ada,Tersedia,-6.9312244,107.6419576,Aksesibilitas Tersedia,[]
HKBP NOMMENSEN GARUT,Gereja Lutheran,"JQXR+43W, Sukawargi, Kec. Cisurupan, Kabupaten Garut, Jawa Barat 44163",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-7.3521299,107.79021,Aksesibilitas Tersedia,[]
Yayasan Dharmaloka Garut,Rumah Duka,"QWM5+7C4, Jl. Bratayuda, Regol, Kec. Garut Kota, Kabupaten Garut, Jawa Barat 44114",Buka 24 jam,"4,3",8,"
0895-0391-3853",Ada,Tidak Tersedia,-7.2168629,107.9085907,Aksesibilitas Tersedia,[]
Vihara dharma loka,Vihara,"Jl. Guntur No.130 134, Sukamentri, Kec. Garut Kota, Kabupaten Garut, Jawa Barat 44116",,"5,0",10,,Tidak Ada ,Tersedia,-7.2118817,107.9080954,Aksesibilitas Tersedia,[]
Tukang ngadurukan,Vihara,"QXRC+9GF, Timbanghayu, Situgede, Kec. Karangpawitan, Kabupaten Garut, Jawa Barat 44182",,"5,0",2,,Tidak Ada ,Tidak Tersedia,-7.2090567,107.9712817,Aksesibilitas Tersedia,[]
Vihara Srivijaya Dhamma,Vihara,"Jl. Bank No.42, Pakuwon, Kec. Garut Kota, Kabupaten Garut, Jawa Barat 44117",,"4,2",22,"
(0262) 232596",Ada,Tidak Tersedia,-7.2140162,107.9030324,Aksesibilitas Tersedia,[]
Rumah Orang Ganteng,Vihara,"WV7W+8V7, Jl. Raya Kadungora, Talagasari, Kec. Kadungora, Kabupaten Garut, Jawa Barat 44153",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-7.0866737,107.8973018,Aksesibilitas Tersedia,[]
